Year,interest_rate
1957,4.909999999
1957,4.929999999
1957,5.08
1957,5.11
1957,5.429999999
1957,5.549999999
1957,5.599999999
1957,5.75
1957,5.979999999
1957,5.839999999
1957,5.889999999
1957,5.809999999
1958,5.659999999
1958,5.649999999
1958,5.639999999
1958,5.449999999
1958,5.459999999
1958,5.449999999
1958,5.459999999
1958,5.489999999
1958,5.36
1958,5.349999999
1958,5.36
1958,5.36
1959,5.199999999
1959,5.199999999
1959,5.239999999
1959,5.22
1959,5.279999999
1959,5.179999999
1959,5.129999999
1959,5.209999999
1959,5.33
1959,5.059999999
1959,5.039999999
1959,5.209999999
1960,5.339999999
1960,5.429999999
1960,5.529999999
1960,5.589999999
1960,5.619999999
1960,5.919999999
1960,5.97
1960,5.949999999
1960,5.97
1960,5.97
1960,5.97
1960,6.009999999
1961,6.009999999
1961,6.039999999
1961,6.049999999
1961,6.009999999
1961,6.08
1961,6.329999999
1961,6.519999999
1961,6.629999999
1961,6.649999999
1961,6.329999999
1961,6.339999999
1961,6.409999999
1962,6.349999999
1962,6.259999999
1962,6.25
1962,6.239999999
1962,6.25
1962,6.239999999
1962,5.979999999
1962,5.769999999
1962,5.269999999
1962,5.369999999
1962,5.419999999
1962,5.36
1963,5.539999999
1963,5.739999999
1963,5.689999999
1963,5.5
1963,5.309999999
1963,5.279999999
1963,5.199999999
1963,5.22
1963,5.209999999
1963,5.259999999
1963,5.509999999
1963,5.629999999
1964,5.639999999
1964,5.849999999
1964,5.759999999
1964,5.929999999
1964,5.899999999
1964,5.97
1964,6.019999999
1964,6
1964,6
1964,6.059999999
1964,6.229999999
1964,6.409999999
1965,6.409999999
1965,6.429999999
1965,6.529999999
1965,6.61
1965,6.759999999
1965,6.779999999
1965,6.799999999
1965,6.649999999
1965,6.349999999
1965,6.369999999
1965,6.399999999
1965,6.589999999
1966,6.519999999
1966,6.61
1966,6.769999999
1966,6.779999999
1966,6.819999999
1966,7.029999999
1966,7.289999999
1966,7.409999999
1966,7.289999999
1966,6.959999999
1966,6.969999999
1966,6.779999999
1967,6.729999999
1967,6.5
1967,6.489999999
1967,6.419999999
1967,6.569999999
1967,6.75
1967,6.939999999
1967,6.899999999
1967,6.909999999
1967,7
1967,7.139999999
1967,7.259999999
1968,7.259999999
1968,7.25
1968,7.289999999
1968,7.279999999
1968,7.369999999
1968,7.599999999
1968,7.699999999
1968,7.619999999
1968,7.629999999
1968,7.629999999
1968,7.819999999
1968,8.13
1969,8.359999999
1969,8.559999999
1969,8.77
1969,8.849999999
1969,9.15
1969,9.55
1969,9.26
1969,9.339999999
1969,9.369999999
1969,9.03
1969,9.13
1969,9.15
1970,9.06
1970,8.79
1970,8.75
1970,8.94
1970,9.4
1970,9.58
1970,9.33
1970,9.21
1970,9.29
1970,9.16
1970,9.51
1970,9.62
1971,9.68
1971,9.35
1971,9.09
1971,9.13
1971,9.36
1971,9.16
1971,9.22
1971,8.96
1971,8.5
1971,8.51
1971,7.79
1971,8.1
1972,7.93
1972,7.9
1972,8.16
1972,8.26
1972,8.6
1972,9.32
1972,9.23
1972,9.36
1972,9.54
1972,9.46
1972,9.45
1972,9.62
1973,9.56
1973,9.65
1973,10.01
1973,9.93
1973,10.02
1973,10.15
1973,10.6
1973,11.3
1973,11.55
1973,11.28
1973,12
1973,12.5
1974,12.89
1974,13.5
1974,13.68
1974,14.21
1974,13.8
1974,14.38
1974,14.88
1974,15.29
1974,14.95
1974,15.68
1974,16.75
1974,17.18
1975,16.02
1975,14.58
1975,13.43
1975,13.89
1975,14.53
1975,14.41
1975,13.93
1975,13.87
1975,13.79
1975,14.66
1975,14.81
1975,14.79
1976,13.79
1976,13.46
1976,13.88
1976,13.77
1976,13.59
1976,14.09
1976,14.16
1976,14.33
1976,14.79
1976,16.03
1976,15.79
1976,15.48
1977,14.48
1977,13.93
1977,13.25
1977,13.05
1977,12.69
