Year,interest_rate
1954,0.80
1954,1.22
1954,1.06
1954,0.85
1954,0.83
1954,1.28
1955,1.39
1955,1.29
1955,1.35
1955,1.43
1955,1.43
1955,1.64
1955,1.68
1955,1.96
1955,2.18
1955,2.24
1955,2.35
1955,2.48
1956,2.45
1956,2.50
1956,2.50
1956,2.62
1956,2.75
1956,2.71
1956,2.75
1956,2.73
1956,2.95
1956,2.96
1956,2.88
1956,2.94
1957,2.84
1957,3
1957,2.96
1957,3
1957,3
1957,3
1957,2.99
1957,3.24
1957,3.47
1957,3.50
1957,3.28
1957,2.98
1958,2.72
1958,1.67
1958,1.20
1958,1.26
1958,0.63
1958,0.93
1958,0.68
1958,1.53
1958,1.76
1958,1.80
1958,2.27
1958,2.42
1959,2.48
1959,2.43
1959,2.80
1959,2.96
1959,2.90
1959,3.39
1959,3.47
1959,3.50
1959,3.76
1959,3.98
1959,4
1959,3.99
1960,3.99
1960,3.97
1960,3.84
1960,3.92
1960,3.85
1960,3.32
1960,3.23
1960,2.98
1960,2.60
1960,2.47
1960,2.44
1960,1.98
1961,1.45
1961,2.54
1961,2.02
1961,1.49
1961,1.98
1961,1.73
1961,1.17
1961,2
1961,1.88
1961,2.26
1961,2.61
1961,2.33
1962,2.15
1962,2.37
1962,2.85
1962,2.78
1962,2.36
1962,2.68
1962,2.71
1962,2.93
1962,2.90
1962,2.90
1962,2.94
1962,2.93
1963,2.92
1963,3
1963,2.98
1963,2.90
1963,3
1963,2.99
1963,3.02
1963,3.49
1963,3.48
1963,3.50
1963,3.48
1963,3.38
1964,3.48
1964,3.48
1964,3.43
1964,3.47
1964,3.50
1964,3.50
1964,3.42
1964,3.50
1964,3.45
1964,3.36
1964,3.52
1964,3.85
1965,3.90
1965,3.98
1965,4.04
1965,4.09
1965,4.10
1965,4.04
1965,4.09
1965,4.12
1965,4.01
1965,4.08
1965,4.10
1965,4.32
1966,4.42
1966,4.60
1966,4.65
1966,4.67
1966,4.90
1966,5.17
1966,5.30
1966,5.53
1966,5.40
1966,5.53
1966,5.76
1966,5.40
1967,4.94
1967,5
1967,4.53
1967,4.05
1967,3.94
1967,3.98
1967,3.79
1967,3.90
1967,3.99
1967,3.88
1967,4.13
1967,4.51
1968,4.60
1968,4.71
1968,5.05
1968,5.76
1968,6.11
1968,6.07
1968,6.02
1968,6.03
1968,5.78
1968,5.91
1968,5.82
1968,6.02
1969,6.30
1969,6.61
1969,6.79
1969,7.41
1969,8.67
1969,8.90
1969,8.61
1969,9.19
1969,9.15
1969,9
1969,8.85
1969,8.97
1970,8.98
1970,8.98
1970,7.76
1970,8.10
1970,7.94
1970,7.60
1970,7.21
1970,6.61
1970,6.29
1970,6.20
1970,5.60
1970,4.90
1971,4.14
1971,3.72
