Year,military_expenditure
1950,33212301000
1951,39104905000
1952,50023740000
1953,55576707000
1954,52763360000
1955,50238304000
1956,49308940000
1957,47615013000
1958,46366650000
1959,46132220000
1960,47086080000
1961,47040508000
1962,47644414000
1963,48458070000
1964,49770627000
1965,49919627000
1966,49653207000
1967,50922177000
1968,50196830000
1969,47436460000
1970,48861450000
1971,48752046000
1972,51857023000
1973,52029174000
1974,52043340000
1975,54676900000
1976,53875614000
1977,51524305000
1978,53162148000
1979,54823980000
1980,58460290000
1981,57264550000
1982,62432590000
1983,65209200000
1984,68443200000
1985,69086290000
1986,68233040000
1987,67489040000
1988,65098236000
1989,65671352000
1990,65764913000
1991,66524560000
1992,62135878000
1993,59297630000
1994,57666190000
1995,54087287000
1996,53570208000
1997,51667800000
1998,51836674000
1999,51560410000
2000,52598514000
2001,54681715000
2002,57932472000
2003,62057290000
2004,62827330000
2005,63414768000
2006,63705657000
2007,65440070000
2008,68305015000
2009,69399410000
2010,68232954000
2011,65926173000
2012,64095502000
2013,61752205000
2014,60648083000
2015,58316714000
2016,58113410000
2017,58219586000
2018,58657770000
2019,61094450000
2020,62064890000
2021,63008190000
2022,64081633000
2023,69153235000
2023,880070560000
