Year,USDX
1973,109.01
1973,100.13
1973,101.43
1973,98
1973,92.91
1973,95.77
1973,94.79
1973,95.06
1973,100.35
1973,102.39
1974,105.90
1974,103.03
1974,99.51
1974,98.49
1974,99.77
1974,100.16
1974,100.54
1974,102.48
1974,101.26
1974,97.29
1975,95.61
1975,93
1975,94.82
1975,95.39
1975,95.86
1975,101.25
1975,101.79
1975,104.24
1975,101.61
1975,103.53
1975,103.51
1976,103.66
1976,105.34
1976,106.23
1976,107.29
1976,106.64
1976,106.13
1976,105.50
1976,105.94
1976,106.19
1976,104.56
1977,105.54
1977,105.26
1977,105.03
1977,104.52
1977,103.84
1977,102.86
1977,103.64
1977,103.21
1977,100.96
1977,100.37
1978,96.64
1978,94.60
1978,93.84
1978,95.62
1978,95.46
1978,93.53
1978,90.94
1978,90
1978,83.07
1978,90.22
1978,86.50
1979,88.86
1979,88.18
1979,89.98
1979,90.53
1979,87.31
1979,87.19
1979,85.45
1979,88.95
1979,86.79
1979,85.82
1980,86.14
1980,87.65
1980,93.58
1980,88.11
1980,85.20
1980,86.08
1980,85.85
1980,86.02
1980,88.38
1980,90.01
1980,90.39
1981,96.76
1981,100.45
1981,104.95
1981,107.71
1981,111.72
1981,110.28
1981,107.73
1981,103.18
1981,104.69
1982,108.03
1982,111.93
1982,114.73
1982,111.60
1982,112.79
1982,119.04
1982,120.29
1982,122.20
1982,124.78
1982,121
1982,117.36
1983,121.12
1983,120.35
1983,122.21
1983,123.79
1983,124.94
1983,128.44
1983,130.84
1983,128.35
1983,128.40
1983,130.64
1984,135.51
1984,128.25
1984,132.64
1984,133.69
1984,141.29
1984,140.33
1984,147.55
1984,146.39
1984,149.21
1984,151.47
1985,152.72
1985,160.41
1985,149.18
1985,149.70
1985,147.86
1985,146.12
1985,137.26
1985,132.12
1985,129.39
1985,123.46
1986,121.52
1986,115.08
1986,117.92
1986,111.77
1986,111.61
1986,108.04
1986,106.43
1986,106.74
1986,109.27
1986,105.92
1986,103.58
1987,97.11
1987,95.94
1987,97.77
1987,98.13
1987,99.79
1987,97.32
1987,98.57
1987,89.15
1987,85.42
1988,90.34
1988,90.53
1988,88.30
1988,91.09
1988,95.41
1988,97.53
1988,98.42
1988,97.69
1988,93.76
1988,90.53
1989,96.77
1989,94.90
1989,98.14
1989,97.71
1989,102.98
1989,102.02
1989,97.39
1989,102.28
1989,98.07
1989,96.27
1989,93.21
1990,92.41
1990,93.29
1990,93.07
1990,92.98
1990,87.17
1990,86.56
1990,86
1990,83.28
1990,82.93
1990,83.07
1991,82
1991,84.08
1991,92.02
1991,91.54
1991,93.13
1991,96.06
1991,93.49
1991,89.90
1991,89.93
1991,83.52
1992,87.49
1992,89.65
1992,89.62
1992,87.22
1992,83.72
1992,81.91
1992,78.88
1992,81.10
1992,90.84
1992,92.36
1993,92.46
1993,94.05
1993,91.87
1993,89.49
1993,89.08
1993,93.63
1993,93.95
1993,92.82
1993,95.08
1993,96.21
1993,96.84
1994,95.59
1994,94.55
1994,93.06
1994,92.52
1994,89.62
1994,89.87
1994,89.67
1994,87.88
1994,85.69
1994,89.13
1995,87.99
1995,85.93
1995,81.90
1995,81.80
1995,82.57
1995,81.58
1995,81.57
1995,85.57
1995,83.66
1995,85.26
1995,84.76
1996,87.38
1996,86.29
1996,86.52
1996,88.02
1996,87.78
1996,87.82
1996,85.90
1996,87.94
1996,87.43
1996,88.18
1997,93.04
1997,94.89
1997,94.72
1997,97.18
1997,95.67
1997,99.64
1997,99
1997,97.11
1997,95.64
1997,97.79
1997,99.65
1998,101.50
1998,99.71
1998,100.45
1998,101.17
1998,101.20
1998,100.20
1998,96.17
1998,96.20
1998,94.17
1999,96.08
1999,98.68
1999,100.10
1999,101
1999,102.51
1999,102.85
1999,99.95
1999,98.54
1999,99.06
1999,101.99
1999,101.87
2000,105.13
2000,105.92
2000,105.44
2000,110.14
2000,108.74
2000,106.84
2000,109.57
2000,112.60
2000,116.65
2000,115.24
2000,109.56
2001,110.52
2001,112.01
2001,115.85
2001,119.07
2001,117.18
2001,113.42
2001,113.48
2001,114.86
2001,116.13
2001,116.75
2002,120.24
2002,119.16
2002,118.62
2002,115.19
2002,111.81
2002,106.11
2002,107.41
2002,106.87
2002,106.64
2002,101.85
2003,99.91
2003,99.71
2003,99.06
2003,97.19
2003,94.73
2003,96.89
2003,98.10
2003,92.85
2003,92.73
2003,90.21
2003,86.92
2004,87.31
2004,87.61
2004,90.48
2004,88.95
2004,88.80
2004,88.94
2004,87.36
2004,84.91
2004,81.82
2004,80.85
2005,83.60
2005,82.51
2005,84.06
2005,87.76
2005,89.11
2005,89.35
2005,87.58
2005,89.52
2005,90.07
2005,91.57
2006,88.96
2006,90.11
2006,89.73
2006,86.11
2006,84.72
2006,85.22
2006,85.30
2006,85.05
2006,85.32
2006,82.92
2006,83.72
2007,84.61
2007,83.57
2007,81.45
2007,82.30
2007,80.77
2007,80.79
